iteration,lambda,psnr
1,0.05611516415334504,32.461914
2,0.7969454818643928,28.685
3,0.2910635913133069,29.104675
4,0.15751320499779725,29.603765
5,0.020513382630874495,26.009796
6,0.05611726373327121,32.55835
7,0.05614436616804165,32.51235
8,0.04690919551675573,32.716988
9,0.04688063015066536,32.684963
10,0.046837438016457955,32.684486
11,0.04679725568654208,32.62527
12,0.046955409499776925,32.70162
13,0.0470043009222981,32.68684
14,0.04705356513080584,32.60825
15,0.04711305338865595,32.735954
