task_name,sample_dir,ssim,psnr,lpips
samples_denoise_colorise_opti,9,0.4696073830127716,12.876165390014648,0.2034480720758438
samples_denoise_colorise_opti,0,0.3352963924407959,11.953611373901367,0.2588033676147461
samples_denoise_colorise_opti,7,0.2126625031232834,14.479881286621094,0.20238664746284485
samples_denoise_colorise_opti,6,0.4978827238082886,12.719117164611816,0.1565130054950714
samples_denoise_colorise_opti,1,0.4912409484386444,13.281574249267578,0.1470152735710144
samples_denoise_colorise_opti,8,0.28740423917770386,12.170123100280762,0.2405567467212677
samples_denoise_colorise_opti,4,0.3735790550708771,14.027337074279785,0.19263839721679688
samples_denoise_colorise_opti,3,0.44864708185195923,11.673860549926758,0.2296539545059204
samples_denoise_colorise_opti,2,0.4129766523838043,14.402204513549805,0.1999201625585556
samples_denoise_colorise_opti,5,0.27003148198127747,13.694217681884766,0.20059016346931458
samples_sr_4x_noisy_gaussian_opti,9,0.1951766163110733,12.921119689941406,0.13609428703784943
samples_sr_4x_noisy_gaussian_opti,0,0.16566620767116547,13.28278923034668,0.17458976805210114
samples_sr_4x_noisy_gaussian_opti,7,0.131624236702919,13.633481979370117,0.1915811151266098
samples_sr_4x_noisy_gaussian_opti,6,0.235521137714386,12.08165168762207,0.10960447788238525
samples_sr_4x_noisy_gaussian_opti,1,0.20201905071735382,12.247544288635254,0.28513577580451965
samples_sr_4x_noisy_gaussian_opti,8,0.1576838195323944,11.986164093017578,0.21991200745105743
samples_sr_4x_noisy_gaussian_opti,4,0.09858880937099457,12.85184097290039,0.2518291175365448
samples_sr_4x_noisy_gaussian_opti,3,0.18258056044578552,13.330645561218262,0.19915048778057098
samples_sr_4x_noisy_gaussian_opti,2,0.13883447647094727,11.437185287475586,0.21773824095726013
samples_sr_4x_noisy_gaussian_opti,5,0.18962988257408142,14.712157249450684,0.11739054322242737
samples_denoise_colorise,9,0.726967990398407,15.023517608642578,0.16941934823989868
samples_denoise_colorise,0,0.8517590761184692,18.02824592590332,0.07647721469402313
samples_denoise_colorise,7,0.5341883301734924,16.007160186767578,0.17992043495178223
samples_denoise_colorise,6,0.8192363381385803,17.094749450683594,0.06817564368247986
samples_denoise_colorise,1,0.8977550864219666,21.923133850097656,0.03954844921827316
samples_denoise_colorise,8,0.4552510976791382,14.051684379577637,0.2068551629781723
samples_denoise_colorise,4,0.6891258358955383,18.466434478759766,0.056025125086307526
samples_denoise_colorise,3,0.8149318099021912,21.11614227294922,0.028354626148939133
samples_denoise_colorise,2,0.6415240168571472,13.832843780517578,0.18296924233436584
samples_denoise_colorise,5,0.39945030212402344,13.335444450378418,0.2561068534851074
samples_sr_4x_colorise,9,0.08757777512073517,10.509703636169434,0.20056377351284027
samples_sr_4x_colorise,0,0.14852091670036316,11.107616424560547,0.20455916225910187
samples_sr_4x_colorise,7,0.09056883305311203,12.7633056640625,0.27858391404151917
samples_sr_4x_colorise,6,0.23005081713199615,10.478096961975098,0.16246551275253296
samples_sr_4x_colorise,1,0.17662648856639862,12.198043823242188,0.2032875120639801
samples_sr_4x_colorise,8,0.11043194681406021,12.312058448791504,0.17952895164489746
samples_sr_4x_colorise,4,0.12193033844232559,11.600930213928223,0.14956532418727875
samples_sr_4x_colorise,3,0.1556629091501236,12.088617324829102,0.20447401702404022
samples_sr_4x_colorise,2,0.13353228569030762,11.28233528137207,0.19333651661872864
samples_sr_4x_colorise,5,0.0858687311410904,10.616256713867188,0.23557576537132263
samples_sr_4x_noisy_poisson,9,0.12090163677930832,12.074163436889648,0.1425035148859024
samples_sr_4x_noisy_poisson,0,0.17288681864738464,13.44885540008545,0.16787683963775635
samples_sr_4x_noisy_poisson,7,0.1505579799413681,14.493629455566406,0.20409640669822693
samples_sr_4x_noisy_poisson,6,0.3167642652988434,13.25152587890625,0.08478111028671265
samples_sr_4x_noisy_poisson,1,0.2687870264053345,13.51518726348877,0.19196529686450958
samples_sr_4x_noisy_poisson,8,0.09072192758321762,12.31230640411377,0.1770833432674408
samples_sr_4x_noisy_poisson,4,0.08906985074281693,12.778907775878906,0.15263770520687103
samples_sr_4x_noisy_poisson,3,0.250984251499176,12.933138847351074,0.2135791927576065
samples_sr_4x_noisy_poisson,2,0.24766217172145844,13.651137351989746,0.18057000637054443
samples_sr_4x_noisy_poisson,5,0.19049741327762604,13.792430877685547,0.22667615115642548
samples_denoise_deblur,9,0.044123198837041855,5.9496026039123535,0.2972896695137024
